"Date","Open","Close","Change(Rp)","Change(%)","Volume"
"2022-09-19","2,410","2,420","-10","0.41","137"
"2022-09-16","2,350","2,430","-80","3.18","192"
"2022-09-15","2,520","2,510","10","0.40","165"
"2022-09-14","2,470","2,500","-30","1.18","126"
"2022-09-13","2,550","2,530","20","0.79","120"
"2022-09-12","2,520","2,510","10","0.40","125"
"2022-09-09","2,490","2,500","-10","0.39","131"
"2022-09-08","2,540","2,510","30","1.20","127"
"2022-09-07","2,430","2,480","-50","1.97","162"
"2022-09-06","2,560","2,530","30","1.20","142"
"2022-09-05","2,510","2,500","10","0.40","160"
"2022-09-02","2,520","2,490","30","1.21","142"
"2022-09-01","2,480","2,470","10","0.40","112"
"2022-08-31","2,420","2,460","-40","1.60","148"
"2022-08-30","2,550","2,500","50","2.04","197"
"2022-08-29","2,420","2,450","-30","1.20","108"
"2022-08-26","2,470","2,480","-10","0.40","182"
"2022-08-25","2,480","2,490","-10","0.40","187"
"2022-08-24","2,520","2,500","20","0.80","400"
"2022-08-22","2,470","2,480","-10","0.40","252"
"2022-08-19","2,480","2,490","-10","0.40","176"
"2022-08-18","2,510","2,500","10","0.40","309"
"2022-08-16","2,530","2,490","40","1.63","326"
"2022-08-15","2,420","2,450","-30","1.20","143"
"2022-08-12","2,470","2,480","-10","0.40","141"
"2022-08-11","2,540","2,490","50","2.04","250"
"2022-08-10","2,420","2,440","-20","0.81","207"
"2022-08-09","2,440","2,460","-20","0.80","205"
"2022-08-08","2,430","2,480","-50","1.97","143"
"2022-08-05","2,550","2,530","20","0.79","199"
"2022-08-04","2,480","2,510","-30","1.18","207"
"2022-08-03","2,530","2,540","-10","0.39","285"
"2022-08-02","2,590","2,550","40","1.59","1,495"
"2022-08-01","2,560","2,510","50","2.03","90"
"2022-07-29","2,520","2,460","60","2.50","102"
"2022-07-28","2,450","2,400","50","2.12","139"
"2022-07-27","2,370","2,350","20","0.85","99"
"2022-07-26","2,270","2,330","-60","2.51","60"
"2022-07-25","2,450","2,390","60","2.57","735"
"2022-07-22","2,320","2,330","-10","0.42","795"
"2022-07-21","2,300","2,340","-40","1.68","246"
"2022-07-20","2,400","2,380","20","0.84","79"
"2022-07-19","2,320","2,360","-40","1.66","142"
"2022-07-15","2,440","2,400","40","1.69","68"
"2022-07-14","2,380","2,360","20","0.85","23"
"2022-07-13","2,370","2,340","30","1.29","21"
"2022-07-12","2,300","2,310","-10","0.43","17"
"2022-07-11","2,290","2,320","-30","1.27","20"
"2022-07-08","2,300","2,350","-50","2.08","135"
"2022-07-07","2,270","2,400","-130","5.13","144"
"2022-07-06","2,940","2,530","410","19.33","1,275"
"2022-07-05","2,280","2,120","160","8.16","286"
"2022-07-04","1,975","1,960","15","0.77","33"
"2022-07-01","1,980","1,945","35","1.83","101"
"2022-06-30","2,080","1,910","170","9.77","271"
"2022-06-29","1,730","1,740","-10","0.57","12"
"2022-06-28","1,730","1,750","-20","1.12","16"
"2022-06-27","1,790","1,780","10","0.56","178"
"2022-06-24","1,790","1,770","20","1.14","20"
"2022-06-23","1,780","1,750","30","1.74","16"
"2022-06-22","1,700","1,720","-20","1.14","15"
"2022-06-21","1,770","1,740","30","1.75","20"
"2022-06-20","1,690","1,710","-20","1.15","24"
"2022-06-17","1,710","1,730","-20","1.14","31"
"2022-06-16","1,740","1,750","-10","0.56","11"
"2022-06-15","1,790","1,760","30","1.73","28"
"2022-06-14","1,710","1,730","-20","1.14","20"
"2022-06-13","1,720","1,750","-30","1.68","27"
