"Date","Open","Close","Change(Rp)","Change(%)","Volume"
"2022-09-20","620","625","-5","0.79","124,017"
"2022-09-19","605","630","-25","3.81","154,299"
"2022-09-16","630","655","-25","3.67","382,273"
"2022-09-15","665","680","-15","2.15","483,369"
"2022-09-14","715","695","20","2.96","329,170"
"2022-09-13","690","675","15","2.27","239,308"
"2022-09-12","640","660","-20","2.94","205,254"
"2022-09-09","675","680","-5","0.72","95,141"
"2022-09-08","700","685","15","2.23","222,197"
"2022-09-07","645","670","-25","3.59","259,905"
"2022-09-06","690","695","-5","0.71","182,580"
"2022-09-05","710","705","5","0.71","79,208"
"2022-09-01","695","700","-5","0.70","147,003"
"2022-08-31","690","705","-15","2.08","129,492"
"2022-08-30","730","720","10","1.40","88,215"
"2022-08-29","705","710","-5","0.69","167,993"
"2022-08-26","700","715","-15","2.05","242,079"
"2022-08-25","725","730","-5","0.68","127,739"
"2022-08-24","725","735","-10","1.34","145,763"
"2022-08-23","750","745","5","0.67","121,857"
"2022-08-22","710","740","-30","3.89","303,391"
"2022-08-19","790","770","20","2.66","379,902"
"2022-08-18","740","750","-10","1.31","432,638"
"2022-08-16","705","760","-55","6.74","814,947"
"2022-08-15","800","815","-15","1.80","237,475"
"2022-08-12","820","830","-10","1.19","306,025"
"2022-08-11","835","840","-5","0.59","553,002"
"2022-08-10","830","845","-15","1.74","238,995"
"2022-08-09","870","860","10","1.17","782,463"
"2022-08-08","845","850","-5","0.58","301,791"
"2022-08-05","860","855","5","0.58","479,342"
"2022-08-04","885","850","35","4.29","1,732,650"
"2022-08-02","795","815","-20","2.39","342,221"
"2022-08-01","825","835","-10","1.18","450,454"
"2022-07-29","870","845","25","3.04","1,202,691"
"2022-07-28","825","820","5","0.61","689,340"
"2022-07-27","895","815","80","10.88","2,112,819"
"2022-07-26","745","735","10","1.37","440,155"
"2022-07-25","745","735","10","1.37","291,408"
"2022-07-22","705","725","-20","2.68","279,700"
"2022-07-21","760","745","15","2.05","1,012,892"
"2022-07-20","750","730","20","2.81","433,331"
"2022-07-19","700","710","-10","1.38","452,591"
"2022-07-18","700","720","-20","2.70","1,190,156"
"2022-07-15","780","740","40","5.71","612,760"
"2022-07-14","665","700","-35","4.76","815,453"
"2022-07-13","685","735","-50","6.36","742,302"
"2022-07-12","940","785","155","24.60","1,124,726"
"2022-07-11","640","635","5","0.79","18,170"
"2022-07-07","640","630","10","1.61","77,990"
"2022-07-06","615","620","-5","0.80","41,069"
"2022-07-05","635","625","10","1.62","70,449"
"2022-07-04","570","615","-45","6.81","277,266"
"2022-07-01","615","660","-45","6.38","211,496"
"2022-06-30","710","705","5","0.71","70,202"
"2022-06-29","675","700","-25","3.44","164,048"
"2022-06-28","680","725","-45","5.84","137,287"
"2022-06-27","775","770","5","0.65","68,866"
"2022-06-24","775","770","5","0.65","57,252"
"2022-06-23","755","765","-10","1.29","34,321"
"2022-06-22","765","775","-10","1.27","39,213"
"2022-06-21","790","785","5","0.64","75,193"
"2022-06-20","765","780","-15","1.88","128,273"
"2022-06-17","770","795","-25","3.04","96,921"
"2022-06-16","825","820","5","0.61","107,096"
"2022-06-15","800","815","-15","1.80","121,992"
"2022-06-14","805","830","-25","2.92","119,138"
"2022-06-13","825","855","-30","3.38","104,589"
"2022-06-10","870","885","-15","1.66","95,506"
"2022-06-09","890","900","-10","1.09","85,853"
"2022-06-08","920","910","10","1.11","134,932"
"2022-06-07","885","900","-15","1.63","69,177"
"2022-06-06","920","915","5","0.54","94,949"
"2022-06-03","920","915","5","0.54","77,778"
"2022-06-02","875","910","-35","3.70","152,609"
"2022-05-31","975","945","30","3.27","155,652"
"2022-05-30","910","915","-5","0.54","58,748"
"2022-05-27","930","920","10","1.09","50,511"
"2022-05-25","890","910","-20","2.15","45,818"
"2022-05-24","925","930","-5","0.53","41,111"
"2022-05-23","910","935","-25","2.60","87,364"
"2022-05-20","980","960","20","2.12","126,623"
"2022-05-19","945","940","5","0.53","114,876"
"2022-05-18","955","935","20","2.18","83,672"
"2022-05-17","960","915","45","5.17","147,560"
"2022-05-12","805","870","-65","6.95","233,015"
"2022-05-11","940","935","5","0.53","115,886"
"2022-05-10","875","930","-55","5.58","317,843"
"2022-05-09","915","985","-70","6.63","235,205"
"2022-04-28","1,090","1,055","35","3.43","224,529"
"2022-04-27","1,055","1,020","35","3.55","208,131"
"2022-04-26","980","985","-5","0.50","191,443"
"2022-04-25","970","990","-20","1.98","191,417"
"2022-04-22","990","1,010","-20","1.94","125,197"
"2022-04-21","1,000","1,030","-30","2.83","160,385"
"2022-04-20","1,110","1,060","50","4.95","253,055"
"2022-04-19","995","1,010","-15","1.46","179,856"
"2022-04-18","990","1,025","-35","3.30","303,278"
"2022-04-14","1,075","1,060","15","1.43","296,260"
"2022-04-13","1,050","1,045","5","0.48","241,776"
"2022-04-12","1,020","1,040","-20","1.88","159,439"
"2022-04-11","1,005","1,060","-55","4.93","258,563"
"2022-04-07","1,120","1,115","5","0.45","228,219"
"2022-04-06","1,050","1,110","-60","5.12","411,782"
"2022-04-05","1,180","1,170","10","0.86","409,865"
"2022-04-04","1,075","1,160","-85","6.82","656,326"
"2022-04-01","1,250","1,245","5","0.40","141,457"
"2022-03-31","1,210","1,240","-30","2.36","408,016"
"2022-03-30","1,265","1,270","-5","0.39","200,568"
"2022-03-29","1,280","1,275","5","0.39","183,218"
"2022-03-28","1,255","1,270","-15","1.16","158,909"
"2022-03-25","1,240","1,285","-45","3.38","309,737"
"2022-03-24","1,370","1,350","20","1.50","88,006"
"2022-03-23","1,315","1,330","-15","1.11","163,330"
"2022-03-22","1,385","1,345","40","3.06","162,041"
"2022-03-21","1,290","1,305","-15","1.13","114,301"
"2022-03-18","1,280","1,300","-20","1.51","116,296"
"2022-03-17","1,365","1,320","45","3.52","250,224"
"2022-03-16","1,295","1,285","10","0.78","144,550"
"2022-03-15","1,245","1,275","-30","2.29","249,892"
"2022-03-14","1,340","1,305","35","2.75","216,377"
"2022-03-11","1,250","1,270","-20","1.55","126,771"
"2022-03-10","1,320","1,290","30","2.38","194,502"
"2022-03-09","1,285","1,260","25","2.02","151,433"
"2022-03-08","1,210","1,235","-25","1.98","358,292"
"2022-03-07","1,190","1,260","-70","5.26","376,465"
"2022-03-04","1,310","1,330","-20","1.48","242,970"
"2022-03-02","1,250","1,350","-100","6.89","660,727"
"2022-03-01","1,500","1,450","50","3.57","506,530"
"2022-02-25","1,410","1,400","10","0.71","496,538"
"2022-02-24","1,290","1,390","-100","6.71","634,327"
"2022-02-23","1,525","1,490","35","2.40","421,262"
"2022-02-22","1,390","1,455","-65","4.27","694,562"
