"Date","Open","Close","Change(Rp)","Change(%)","Volume"
"2022-09-29","242","250","-8","3.10","2,964,377"
"2022-09-28","264","258","6","2.38","6,589,855"
"2022-09-27","248","252","-4","1.56","4,095,876"
"2022-09-26","248","256","-8","3.03","7,693,703"
"2022-09-23","260","262","-2","0.75","2,638,101"
"2022-09-22","256","260","-4","1.51","1,529,037"
"2022-09-21","262","264","-2","0.75","4,783,476"
"2022-09-20","290","266","24","9.91","16,310,095"
"2022-09-19","236","242","-6","2.41","11,803,907"
"2022-09-16","230","248","-18","6.76","19,079,021"
"2022-09-15","260","266","-6","2.20","13,097,518"
"2022-09-14","268","272","-4","1.44","9,422,216"
"2022-09-13","274","276","-2","0.71","6,460,002"
"2022-09-12","274","278","-4","1.41","7,224,253"
"2022-09-09","278","282","-4","1.39","7,227,419"
"2022-09-08","290","286","4","1.41","12,975,372"
"2022-09-07","286","284","2","0.70","8,327,819"
"2022-09-06","290","286","4","1.41","2,267,031"
"2022-09-05","280","282","-2","0.70","5,516,534"
"2022-09-02","278","284","-6","2.06","5,285,918"
"2022-09-01","278","290","-12","3.97","6,171,852"
"2022-08-31","280","302","-22","6.79","11,503,954"
"2022-08-30","328","324","4","1.25","5,429,432"
"2022-08-29","322","320","2","0.62","4,943,598"
"2022-08-26","310","318","-8","2.45","3,070,098"
"2022-08-25","324","326","-2","0.60","3,597,380"
"2022-08-24","330","328","2","0.61","3,173,066"
"2022-08-23","332","326","6","1.87","5,332,314"
"2022-08-22","306","320","-14","4.19","7,316,743"
"2022-08-19","350","342","8","2.39","5,598,191"
"2022-08-18","344","334","10","3.08","14,677,861"
"2022-08-16","354","324","30","10.20","16,300,484"
"2022-08-15","296","294","2","0.68","3,243,008"
"2022-08-12","288","292","-4","1.35","2,850,593"
"2022-08-11","312","296","16","5.71","7,595,105"
"2022-08-09","278","280","-2","0.70","5,491,079"
"2022-08-08","268","282","-14","4.72","6,953,938"
"2022-08-05","300","298","2","0.67","2,173,889"
"2022-08-04","300","298","2","0.67","5,683,356"
"2022-08-03","306","296","10","3.49","5,057,393"
"2022-08-02","278","282","-4","1.39","4,067,400"
"2022-08-01","276","286","-10","3.37","7,632,157"
"2022-07-29","286","296","-10","3.26","6,928,582"
"2022-07-28","318","306","12","4.08","13,421,980"
"2022-07-27","296","294","2","0.68","9,120,679"
"2022-07-26","284","292","-8","2.66","7,933,209"
"2022-07-25","292","300","-8","2.59","6,233,538"
"2022-07-22","316","308","8","2.66","9,011,874"
"2022-07-21","292","300","-8","2.59","4,716,749"
"2022-07-20","314","308","6","1.98","9,730,129"
"2022-07-19","306","302","4","1.34","13,784,498"
"2022-07-18","276","298","-22","6.87","11,991,870"
"2022-07-15","308","320","-12","3.61","9,986,985"
"2022-07-14","340","332","8","2.46","7,863,586"
"2022-07-13","318","324","-6","1.81","8,704,210"
"2022-07-12","322","330","-8","2.36","8,022,155"
"2022-07-11","326","338","-12","3.42","8,409,283"
"2022-07-08","362","350","12","3.55","12,418,550"
"2022-07-07","352","338","14","4.32","10,748,244"
"2022-07-06","314","324","-10","2.99","11,294,074"
"2022-07-05","322","334","-12","3.46","15,738,447"
"2022-07-04","322","346","-24","6.48","7,059,386"
"2022-07-01","352","370","-18","4.63","10,998,674"
"2022-06-30","386","388","-2","0.51","9,172,678"
"2022-06-29","388","390","-2","0.51","9,299,811"
"2022-06-28","390","392","-2","0.50","8,532,983"
"2022-06-27","396","394","2","0.51","15,134,440"
"2022-06-24","404","392","12","3.15","32,205,650"
"2022-06-23","372","376","-4","1.05","12,841,660"
"2022-06-22","382","380","2","0.52","18,343,311"
"2022-06-21","386","378","8","2.16","22,902,074"
"2022-06-20","374","370","4","1.09","42,444,505"
"2022-06-17","340","366","-26","6.63","27,496,448"
"2022-06-16","380","392","-12","2.97","39,943,927"
"2022-06-15","408","404","4","1.00","36,249,549"
"2022-06-14","412","400","12","3.09","49,173,758"
"2022-06-13","390","388","2","0.51","44,167,739"
"2022-06-10","388","386","2","0.52","47,371,001"
"2022-06-09","390","384","6","1.58","68,570,990"
"2022-06-08","392","378","14","3.84","64,611,955"
"2022-06-07","398","364","34","10.30","70,975,586"
"2022-06-06","306","330","-24","6.77","34,292,319"
"2022-06-03","364","354","10","2.90","31,035,878"
"2022-06-02","384","344","40","13.15","56,384,861"
"2022-05-31","294","304","-10","3.18","20,729,192"
"2022-05-30","316","314","2","0.64","34,480,446"
"2022-05-27","320","312","8","2.63","30,093,373"
"2022-05-25","306","304","2","0.66","31,115,506"
"2022-05-24","308","302","6","2.02","42,212,231"
"2022-05-23","288","296","-8","2.63","49,688,737"
"2022-05-20","328","304","24","8.57","42,416,795"
"2022-05-19","312","280","32","12.90","75,714,826"
"2022-05-18","296","248","48","24.00","42,668,654"
"2022-05-17","206","200","6","3.09","36,715,078"
"2022-05-13","180","194","-14","6.73","4,072,868"
"2022-05-12","194","208","-14","6.30","3,129,828"
"2022-05-11","206","222","-16","6.72","29,424,045"
"2022-05-10","222","238","-16","6.29","2,013,344"
"2022-05-09","236","254","-18","6.61","6,213,456"
"2022-04-28","254","272","-18","6.20","22,803,098"
"2022-04-27","270","290","-20","6.45","20,775,773"
"2022-04-26","292","310","-18","5.48","18,439,971"
"2022-04-25","316","328","-12","3.52","19,605,879"
"2022-04-21","342","340","2","0.59","16,705,846"
"2022-04-20","318","338","-20","5.58","58,042,812"
"2022-04-19","338","358","-20","5.29","22,529,718"
"2022-04-18","380","378","2","0.53","26,603,127"
"2022-04-14","378","376","2","0.53","36,759,819"
"2022-04-13","378","374","4","1.08","32,628,114"
"2022-04-12","358","370","-12","3.14","38,873,310"
"2022-04-11","426","382","44","13.01","94,108,970"
